"name","layout","mana_cost","cmc","colors","color_identity","names","type","supertypes","subtypes","types","rarity","text","flavor","artist","number","power","toughness","loyalty","multiverse_id","variations","watermark","border","timeshifted","hand","life","release_date","starter","printings","original_text","original_type","source","image_url","set","set_name","id","legalities","rulings","foreign_names"
"Angel of Grace","normal","{3}{W}{W}","5.0","['White']","['W']","","Creature — Angel","[]","['Angel']","['Creature']","Mythic","Flash
Flying
When Angel of Grace enters the battlefield, until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.
{4}{W}{W}, Exile Angel of Grace from your graveyard: Your life total becomes 10.","","Ryan Yee","1","5","4","","457145","","","","","","","","","['RNA']","Flash
Flying
When Angel of Grace enters the battlefield, until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.
{4}{W}{W}, Exile Angel of Grace from your graveyard: Your life total becomes 10.","Creature — Angel","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457145&type=card","RNA","Ravnica Allegiance","c095a153-6bbf-5e93-8a68-578d17461170","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Angel of Grace’s triggered ability doesn’t prevent damage. It only changes the result of damage dealt to you. For example, a creature with lifelink that deals damage to you will still cause its controller to gain life, even if that damage would reduce your life total to less than 1.'}, {'date': '2019-01-25', 'text': 'Angel of Grace’s triggered ability doesn’t stop loss of life from effects that say that you lose life.'}, {'date': '2019-01-25', 'text': 'If you have less than 1 life and somehow haven’t lost the game, damage dealt to you reduces your life total further below 0 (as normal).'}, {'date': '2019-01-25', 'text': 'For a player’s life total to become 10, that player gains or loses the appropriate amount of life. For example, if your life total is 2, Angel of Grace’s last ability will cause you to gain 8 life; alternatively, if your life total is 20, it will cause you to lose 10 life. Other cards that interact with life gain or life loss will interact with this effect accordingly.'}, {'date': '2019-01-25', 'text': 'In a Two-Headed Giant game, after resolving Angel of Grace’s triggered ability, damage dealt to you and/or your teammate that would reduce your team’s life total to less than 1 reduces it to 1 instead.'}, {'date': '2019-01-25', 'text': 'In a Two-Headed Giant game, the activated ability of Angel of Grace causes you to gain or lose life so that your team’s life total becomes 10.'}, {'date': '2019-01-25', 'text': 'In a Commander game, combat damage you’re dealt by a commander is still tracked, even if it doesn’t change your life total.'}]","[]"
"Angelic Exaltation","normal","{3}{W}","4.0","['White']","['W']","","Enchantment","[]","[]","['Enchantment']","Uncommon","Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control.","""If we cannot have peace, we will have justice.""
—Aurelia","John Severin Brassell","2","","","","457146","","","","","","","","","['RNA']","Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control.","Enchantment","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457146&type=card","RNA","Ravnica Allegiance","8d69ea54-bd1c-533d-818f-753f698e4583","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'A creature attacks alone if it’s the only creature declared as an attacker during the declare attackers step (including creatures controlled by your teammates, if applicable). For example, Angelic Exaltation’s ability won’t trigger if you attack with multiple creatures and all but one of them are removed from combat.'}, {'date': '2019-01-25', 'text': 'The value of X is determined only as Angelic Exaltation’s ability begins to resolve. It won’t change later in the turn if the number of creatures you control changes.'}]","[]"
"Archway Angel","normal","{5}{W}","6.0","['White']","['W']","","Creature — Angel","[]","['Angel']","['Creature']","Uncommon","Flying
When Archway Angel enters the battlefield, you gain 2 life for each Gate you control.","A ray of hope breaks through the shroud of rain.","Milivoj Ćeran","3","3","4","","457147","","","","","","","","","['RNA']","Flying
When Archway Angel enters the battlefield, you gain 2 life for each Gate you control.","Creature — Angel","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457147&type=card","RNA","Ravnica Allegiance","ce6e2ecb-1389-544f-826f-e1adf390d042","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Arrester's Zeal","normal","{W}","1.0","['White']","['W']","","Instant","[]","[]","['Instant']","Common","Target creature gets +2/+2 until end of turn.
Addendum — If you cast this spell during your main phase, that creature gains flying until end of turn.","Law is the light of civilization.","Izzy","4","","","","457148","","azorius","","","","","","","['RNA']","Target creature gets +2/+2 until end of turn.
Addendum — If you cast this spell during your main phase, that creature gains flying until end of turn.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457148&type=card","RNA","Ravnica Allegiance","6fcadf50-84f0-5a39-86b0-c28c14945fb8","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Addendum abilities of instant spells apply while the spell is resolving, not immediately after casting it. If the spell is countered, you don’t get the addendum bonus. For example, if you cast Sphinx’s Insight during your main phase, you gain 2 life during its resolution, after you draw two cards.'}, {'date': '2019-01-25', 'text': 'If a spell with an addendum ability is copied, the copy won’t give you the addendum bonus. This is because the copy wasn’t cast at all.'}]","[]"
"Bring to Trial","normal","{2}{W}","3.0","['White']","['W']","","Sorcery","[]","[]","['Sorcery']","Common","Exile target creature with power 4 or greater.","""In you go, big guy. Watch your head.""","Victor Adame Minguez","5","","","","457149","","","","","","","","","['RNA']","Exile target creature with power 4 or greater.","Sorcery","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457149&type=card","RNA","Ravnica Allegiance","212525ca-313e-5ce5-ba37-d633a18d07a2","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Civic Stalwart","normal","{3}{W}","4.0","['White']","['W']","","Creature — Elephant Soldier","[]","['Elephant', 'Soldier']","['Creature']","Common","When Civic Stalwart enters the battlefield, creatures you control get +1/+1 until end of turn.","""These are your streets. Defend them! This is your neighborhood. Honor it! This is your city. Save it!""","Gabor Szikszai","6","3","3","","457150","","","","","","","","","['RNA']","When Civic Stalwart enters the battlefield, creatures you control get +1/+1 until end of turn.","Creature — Elephant Soldier","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457150&type=card","RNA","Ravnica Allegiance","44417f95-aad7-58c6-9811-ad11bd30a033","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Civic Stalwart’s triggered ability affects only creatures you control at the time it resolves. Creatures you begin to control later in the turn won’t get +1/+1.'}]","[]"
"Concordia Pegasus","normal","{1}{W}","2.0","['White']","['W']","","Creature — Pegasus","[]","['Pegasus']","['Creature']","Common","Flying","""What makes a frog lizard any worse than a bird horse? Prejudice against the Simic, that's what! It's unfair!""
—Thados Arquef,
Guardian Project biomancer","Chris Rahn","7","1","3","","457151","","","","","","","","","['RNA', 'RTR']","Flying","Creature — Pegasus","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457151&type=card","RNA","Ravnica Allegiance","8a94da6a-cd05-55d2-8a7c-9be1bc28f1db","[{'format': '1v1', 'legality': 'Legal'}, {'format': 'Commander', 'legality': 'Legal'}, {'format': 'Duel', 'legality': 'Legal'}, {'format': 'Future', 'legality': 'Legal'}, {'format': 'Legacy', 'legality': 'Legal'}, {'format': 'Modern', 'legality': 'Legal'}, {'format': 'Pauper', 'legality': 'Legal'}, {'format': 'Penny', 'legality': 'Legal'}, {'format': 'Vintage', 'legality': 'Legal'}]","[]","[]"
"Expose to Daylight","normal","{2}{W}","3.0","['White']","['W']","","Instant","[]","[]","['Instant']","Common","Destroy target artifact or enchantment. Scry 1.","""Lies cannot long withstand the harsh light of day.""
—Lavinia","Daniel Ljunggren","8","","","","457152","","","","","","","","","['RNA']","Destroy target artifact or enchantment. Scry 1.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457152&type=card","RNA","Ravnica Allegiance","f318d8fc-f364-522a-a720-d21bc11e28b7","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If the chosen target becomes an illegal target for Expose to Daylight, the spell doesn’t resolve. You don’t scry 1. If the target is legal but not destroyed (most likely because it has indestructible), you do scry 1.'}]","[]"
"Forbidding Spirit","normal","{1}{W}{W}","3.0","['White']","['W']","","Creature — Spirit Cleric","[]","['Spirit', 'Cleric']","['Creature']","Uncommon","When Forbidding Spirit enters the battlefield, until your next turn, creatures can't attack you or a planeswalker you control unless their controller pays {2} for each of those creatures.","""You will respect the dead.""","Ryan Yee","9","3","3","","457153","","","","","","","","","['RNA']","When Forbidding Spirit enters the battlefield, until your next turn, creatures can't attack you or a planeswalker you control unless their controller pays {2} for each of those creatures.","Creature — Spirit Cleric","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457153&type=card","RNA","Ravnica Allegiance","9d2abe6d-011c-58e0-9a81-3b65a8f46c6c","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Because it doesn’t modify the characteristics of creatures, Forbidding Spirit’s triggered ability can affect creatures that enter the battlefield after that ability resolves.'}, {'date': '2019-01-25', 'text': 'While Forbidding Spirit’s effect is in effect, your opponents can choose not to pay to attack with a creature that attacks “if able.” If there’s no other player or planeswalker to attack, that creature simply doesn’t attack.'}, {'date': '2019-01-25', 'text': 'Forbidding Spirit’s effect continues until your next turn even if Forbidding Spirit leaves the battlefield before then.'}, {'date': '2019-01-25', 'text': 'In a Two-Headed Giant game, creatures can attack your teammate and planeswalkers your teammate controls without requiring a mana payment.'}]","[]"
"Haazda Officer","normal","{2}{W}","3.0","['White']","['W']","","Creature — Human Soldier","[]","['Human', 'Soldier']","['Creature']","Common","When Haazda Officer enters the battlefield, target creature you control gets +1/+1 until end of turn.","""You two, cover the alley! You, with me! Eyes on windows, balconies, and rooftops. Who knows what a fish-octopus-crab can do!""","Aaron Miller","10","3","2","","457154","","","","","","","","","['RNA']","When Haazda Officer enters the battlefield, target creature you control gets +1/+1 until end of turn.","Creature — Human Soldier","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457154&type=card","RNA","Ravnica Allegiance","05570b01-40ec-5cf6-94d6-f67cdac9464b","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
